Roll (deg),Pitch (deg),Yaw (deg),Throttle,Altitude (m),Distance to Target (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg)
0.95433116,6.916781,-0.1830744,0.0,304.7138,247.46739,-74.85882,-45.0
3.1052916,19.090855,-0.5911325,0.0,304.9472,245.30296,-76.88389,-45.0
5.0929933,26.304737,-1.3427482,0.0,305.87625,243.56158,-78.87677,-45.0
6.136622,29.380136,-2.434825,0.0,307.41336,242.25357,-80.812065,-45.0
6.4235244,31.921127,-3.3245025,0.0,309.47504,241.36565,-82.67699,-45.0
6.42125,35.429398,-3.6125278,0.0,311.9627,240.86209,-84.4634,-45.0
6.4940343,39.30971,-3.2426255,0.0,314.78708,240.69887,-86.16163,-45.0
6.8956113,42.873962,-2.2584682,0.37695834,317.87906,240.83305,-87.761734,-45.0
7.8029838,45.91086,-0.715803,0.40113473,321.16287,241.22153,-89.2589,-45.0
9.297471,48.48075,1.3193073,0.4795491,324.56506,241.8249,-90.65241,-45.0
11.374627,50.68167,3.7695346,0.54258627,328.01834,242.60931,-91.944214,-45.0
13.959324,52.548683,6.5422683,0.61616147,331.46298,243.54628,-93.13797,-45.0
16.924145,54.064384,9.526234,0.6894573,334.8467,244.61223,-94.238205,-45.0
20.107584,55.196587,12.593211,0.75889075,338.1236,245.78749,-95.250084,-45.0
23.332296,55.915733,15.603018,0.81992376,341.25217,247.05533,-96.179596,-45.0
26.418821,56.19928,18.412462,0.86970997,344.1962,248.40173,-97.03303,-45.0
29.206816,56.036182,20.893448,0.9061441,346.92523,249.81496,-97.81681,-45.0
31.572916,55.422462,22.947973,0.9279437,349.41367,251.28525,-98.53759,-45.0
33.43794,54.352924,24.514074,0.93428344,351.64014,252.80452,-99.20219,-45.0
34.76597,52.81198,25.56195,0.9247273,353.58597,254.3661,-99.81774,-45.0
35.5573,50.76347,26.082214,0.8990735,355.23315,255.96446,-100.391846,-45.0
35.84998,48.170216,26.107122,0.8574024,356.56668,257.59442,-100.93114,-45.0
35.69957,44.983967,25.687931,0.8004725,357.58102,259.25348,-101.44017,-45.0
35.19844,41.16868,24.909384,0.73008233,358.27292,260.93994,-101.92348,-45.0
34.453964,36.698727,23.869076,0.6490692,358.64053,262.6529,-102.38539,-45.0
33.58264,31.566408,22.660637,0.56163216,358.6835,264.39233,-102.82977,-45.0
32.723198,25.804192,21.357565,0.47355214,358.40244,266.1595,-103.25975,-45.0
31.98258,19.490086,20.029324,0.3922313,357.79944,267.9564,-103.67813,-45.0
31.424547,12.758033,18.752848,0.32599637,356.87833,269.78613,-104.087715,-45.0
31.067312,5.8058186,17.622263,0.2790279,355.6445,271.65286,-104.49145,-45.0
30.875668,-1.10967,16.760279,0.21777372,354.10513,273.56238,-104.892746,-45.0
30.752535,-7.69247,16.32803,0.0,352.2687,275.52176,-105.29565,-45.0
30.528173,-13.612767,16.544743,0.0,350.13864,277.53098,-105.7045,-45.0
29.997478,-18.63808,17.60855,0.0,347.72018,279.58972,-106.12307,-45.0
29.01261,-22.701214,19.62292,0.0,345.02292,281.70465,-106.55391,-45.0
27.61666,-25.83439,22.557709,0.0,342.05817,283.88727,-106.997116,-45.0
26.003525,-28.13643,26.244509,0.0,338.8385,286.15225,-107.44997,-45.0
24.41186,-29.777216,30.426,0.0,335.3775,288.517,-107.907814,-45.0
23.088697,-30.971996,34.809742,0.50191015,331.6891,291.0015,-108.36489,-45.0
22.226337,-31.914183,39.12908,1.230561,327.7871,293.62717,-108.81519,-45.0
21.897343,-32.713184,43.180916,0.0,323.6853,296.41464,-109.25301,-45.0
22.08327,-33.375153,46.841488,0.0,319.39703,299.3818,-109.673325,-45.0
22.737736,-33.83338,50.058342,0.0,314.93558,302.5428,-110.07184,-45.0
23.763952,-34.001907,52.83124,0.0,310.31482,305.9084,-110.44494,-45.0
25.01672,-33.823345,55.19323,0.0,305.5494,309.48654,-110.78952,-45.0
26.314356,-33.290173,57.19627,0.0,300.6554,313.28284,-111.102974,-45.0
27.491835,-32.44484,58.912613,0.0,295.65036,317.30066,-111.38341,45.0
28.43433,-31.363602,60.43203,0.0,290.55356,321.5413,-111.62983,45.0
28.987068,-30.134861,61.849854,0.0,285.38538,326.00406,-111.84196,45.0
28.965471,-28.850372,63.259678,0.0,280.16736,330.68652,-112.020164,45.0
28.398592,-27.58882,64.7331,0.0,274.92157,335.58514,-112.165184,45.0
27.50548,-26.383602,66.31062,0.0,269.67014,340.69522,-112.27781,45.0
26.461706,-25.22157,68.01512,0.0,264.4344,346.01062,-112.358955,45.0
25.394005,-24.067726,69.8464,0.0,259.23456,351.52393,-112.409325,45.0
24.398388,-22.89082,71.77728,0.0,254.08968,357.22653,-112.42923,45.0
23.543255,-21.673628,73.76129,0.0,249.01746,363.10876,-112.418625,45.0
22.867071,-20.410212,75.746315,0.0,244.03429,369.1597,-112.37734,45.0
22.378437,-19.100103,77.68646,0.0,239.15515,375.3671,-112.30536,45.0
22.060717,-17.745502,79.54884,0.0,234.3936,381.71744,-112.20295,45.0
21.88003,-16.351326,81.315636,0.0,229.7618,388.19614,-112.07074,45.0
21.794428,-14.925783,82.983284,0.0,225.2705,394.7878,-111.90979,45.0
21.762383,-13.480107,84.55978,0.0,220.92905,401.47656,-111.72149,45.0
21.749317,-12.027515,86.06108,0.0,216.74539,408.24628,-111.50754,45.0
21.731558,-10.5817995,87.5072,0.0,212.72601,415.081,-111.26983,45.0
21.708103,-9.158854,88.9257,0.0,208.87595,421.96506,-111.01053,45.0
21.748192,-7.802677,90.41783,0.0,205.19955,428.88458,-110.73343,45.0
21.927992,-6.5460057,92.0982,0.0,201.6989,435.82556,-110.44241,45.0
22.255337,-5.365677,93.94049,0.0,198.3725,442.77203,-110.13812,45.0
22.74737,-4.2521644,95.896454,0.0,195.21695,449.70807,-109.82058,45.0
23.405321,-3.2035758,97.917435,0.0,192.22714,456.61765,-109.489555,45.0
24.195236,-2.223495,99.9785,0.0,189.3967,463.48526,-109.14525,45.0
24.957376,-1.3680037,102.17711,0.0,186.7195,470.29803,-108.79031,45.0
25.701822,-0.7047364,104.64048,0.0,184.18834,477.04382,-108.42783,45.0
26.646276,-0.20512562,107.30331,0.0,181.79254,483.70853,-108.056915,45.0
27.878126,0.17010525,110.06557,0.0,179.51971,490.2775,-107.675804,45.0
29.377878,0.44827148,112.84107,0.0,177.35625,496.7359,-107.2829,45.0
31.076683,0.65045327,115.571236,0.0,175.28752,503.0688,-106.87707,45.0
32.889385,0.7958864,118.23012,0.0,173.29834,509.26157,-106.45785,45.0
34.734364,0.8990996,120.82017,0.0,171.37332,515.30035,-106.02538,45.0
36.544857,0.96481174,123.36243,0.0,169.49733,521.17224,-105.58028,45.0
38.274,0.9862139,125.886116,0.0,167.65585,526.86566,-105.1234,45.0
39.89532,0.94772965,128.42093,0.0,165.83513,532.37024,-104.65571,45.0
41.400192,0.83006865,130.99281,0.0,164.02219,537.677,-104.17819,45.0
42.79357,0.61505234,133.62193,0.0,162.2048,542.77783,-103.69172,45.0
44.089138,0.28886247,136.32222,0.0,160.37144,547.66565,-103.1971,45.0
45.304707,-0.15647382,139.10168,0.0,158.51114,552.3339,-102.69499,45.0
46.458405,-0.72296345,141.9631,0.0,156.61336,556.7766,-102.18597,45.0
47.56594,-1.4073681,144.9052,0.0,154.66805,560.9878,-101.67051,45.0
48.638977,-2.2023304,147.9239,0.0,152.66551,564.9616,-101.148994,45.0
49.684452,-3.0976071,151.01369,0.0,150.59645,568.69214,-100.621796,45.0
50.704697,-4.0812306,154.1688,0.0,148.45193,572.1733,-100.08925,45.0
51.698017,-5.140502,157.38419,0.0,146.22346,575.3987,-99.55174,45.0
52.65962,-6.262775,160.65617,0.0,143.90305,578.3619,-99.00968,45.0
53.582596,-7.4360156,163.98277,0.0,141.48312,581.05597,-98.46353,45.0
54.45889,-8.649139,167.36368,0.0,138.9568,583.474,-97.91382,45.0
55.2801,-9.891905,170.80034,0.0,136.3178,585.60864,-97.36117,45.0
56.038265,-11.154991,174.29556,0.0,133.56053,587.45264,-96.80625,45.0
56.726284,-12.430147,177.85266,0.0,130.68004,588.99835,-96.24983,45.0
57.33763,-13.710067,-178.52489,0.0,127.67211,590.23834,-89.40955,45.0
57.863365,-14.988567,-174.83342,0.0,124.53325,591.16504,-88.8527,45.0
58.272133,-16.263577,-171.06696,0.0,121.260826,591.77124,-88.29709,45.0
58.4914,-17.539515,-167.21616,0.0,117.8532,592.04987,-87.74387,45.0
58.49694,-18.814926,-163.2762,0.0,114.309654,591.9944,-87.194214,45.0
58.36261,-20.071354,-159.25339,0.0,110.63032,591.5985,-86.649124,45.0
58.162003,-21.283257,-155.15823,0.0,106.81615,590.85657,-86.109665,45.0
57.92308,-22.42769,-151.00064,0.0,102.868835,589.7633,-85.576996,45.0
57.59667,-23.502918,-146.7787,0.0,98.79128,588.3145,-85.05261,45.0
